ID,Name,Designator,Quantity,Link,Mouser
1,Micro Momentary Tact,"SW1,SW2,SW3,SW4",4,,
2,thonkiconn,"U2,U1",2,https://www.thonk.co.uk/shop/thonkiconn/,
3,B100K - T18 shaft - Alpha Vertical 9mm Potentiometer,RV1,1,,
4,switch ON-ON,SW5,1,,
5,ARDUINO-NANO3,U4,1,,
6,100n,"C4,C3,C2,C1",4,,
7,SSD1306 128x64 OLED,U5,1,,
8,100K,"R1,R3",2,,
9,560K,R2,1,,
10,100,R4,1,,
11,1n4148,"D1,D2,D3,D4",4,,
12,1n5817,D5,1,,
13,Socket 28P DIP (for the Arduino - Pin15/16 not in use),,1,,571-1-2199299-2
14,Spacers M3x10mm,,2,,710-970100365
15,M3x6 Black Screw,,4,,
16,16-pin (2Ã—8) jacketed pin header,,1,,517-N2516-6002RB
